text,intent
I want to shoot the wall,story_action
I will carefully shoot the wall,story_action
shoot the wall now!,story_action
I want to shoot him,story_action
I will carefully shoot him,story_action
shoot him now!,story_action
I want to open the monster,story_action
I will carefully open the monster,story_action
open the monster now!,story_action
I want to open the door,story_action
I will carefully open the door,story_action
open the door now!,story_action
I want to open the zombie,story_action
I will carefully open the zombie,story_action
open the zombie now!,story_action
I want to open the chest,story_action
I will carefully open the chest,story_action
open the chest now!,story_action
I want to open the wall,story_action
I will carefully open the wall,story_action
open the wall now!,story_action
I want to open him,story_action
I will carefully open him,story_action
open him now!,story_action
I want to hide behind the monster,story_action
I will carefully hide behind the monster,story_action
hide behind the monster now!,story_action
I want to hide behind the door,story_action
I will carefully hide behind the door,story_action
hide behind the door now!,story_action
I want to hide behind the zombie,story_action
I will carefully hide behind the zombie,story_action
hide behind the zombie now!,story_action
I want to hide behind the chest,story_action
I will carefully hide behind the chest,story_action
hide behind the chest now!,story_action
I want to hide behind the wall,story_action
I will carefully hide behind the wall,story_action
hide behind the wall now!,story_action
I want to hide behind him,story_action
I will carefully hide behind him,story_action
hide behind him now!,story_action
I want to talk to the monster,story_action
I will carefully talk to the monster,story_action
talk to the monster now!,story_action
I want to talk to the door,story_action
I will carefully talk to the door,story_action
talk to the door now!,story_action
I want to talk to the zombie,story_action
I will carefully talk to the zombie,story_action
talk to the zombie now!,story_action
I want to talk to the chest,story_action
I will carefully talk to the chest,story_action
talk to the chest now!,story_action
I want to talk to the wall,story_action
I will carefully talk to the wall,story_action
talk to the wall now!,story_action
I want to talk to him,story_action
I will carefully talk to him,story_action
talk to him now!,story_action
I want to kill the monster,story_action
I will carefully kill the monster,story_action
kill the monster now!,story_action
I want to kill the door,story_action
I will carefully kill the door,story_action
kill the door now!,story_action
I want to kill the zombie,story_action
I will carefully kill the zombie,story_action
kill the zombie now!,story_action
I want to kill the chest,story_action
I will carefully kill the chest,story_action
kill the chest now!,story_action
I want to kill the wall,story_action
I will carefully kill the wall,story_action
kill the wall now!,story_action
I want to kill him,story_action
I will carefully kill him,story_action
kill him now!,story_action
Hello,general_chat
Hi there,general_chat
How are you,general_chat
Xin chào,general_chat
Chào Master G,general_chat
Bạn tên là gì,general_chat
Goodbye,general_chat
I'm bored,general_chat
Haha,general_chat
Lol,general_chat
Lmao,general_chat
Good morning,general_chat
Good night,general_chat
Chúc ngủ ngon,general_chat
Tạm biệt,general_chat
Bye,general_chat
Master G mỏ hỗn,general_chat
AI ngu ngốc,general_chat
Bạn có biết hát không,general_chat
Thời tiết hôm nay thế nào,general_chat
Cảm ơn,general_chat
Thank you,general_chat
Thanks,general_chat
Ok,general_chat
Được rồi,general_chat
Dạ,general_chat
Đỉnh quá,general_chat
Tuyệt vời,general_chat
Hello,general_chat
Hi there,general_chat
How are you,general_chat
Xin chào,general_chat
Chào Master G,general_chat
Bạn tên là gì,general_chat
Goodbye,general_chat
I'm bored,general_chat
Haha,general_chat
Lol,general_chat
Lmao,general_chat
Good morning,general_chat
Good night,general_chat
Chúc ngủ ngon,general_chat
Tạm biệt,general_chat
Bye,general_chat
Master G mỏ hỗn,general_chat
AI ngu ngốc,general_chat
Bạn có biết hát không,general_chat
Thời tiết hôm nay thế nào,general_chat
Cảm ơn,general_chat
Thank you,general_chat
Thanks,general_chat
Ok,general_chat
Được rồi,general_chat
Dạ,general_chat
Đỉnh quá,general_chat
Tuyệt vời,general_chat
Hello,general_chat
Hi there,general_chat
How are you,general_chat
Xin chào,general_chat
Chào Master G,general_chat
Bạn tên là gì,general_chat
Goodbye,general_chat
I'm bored,general_chat
Haha,general_chat
Lol,general_chat
Lmao,general_chat
Good morning,general_chat
Good night,general_chat
Chúc ngủ ngon,general_chat
Tạm biệt,general_chat
Bye,general_chat
Master G mỏ hỗn,general_chat
AI ngu ngốc,general_chat
Bạn có biết hát không,general_chat
Thời tiết hôm nay thế nào,general_chat
Cảm ơn,general_chat
Thank you,general_chat
Thanks,general_chat
Ok,general_chat
Được rồi,general_chat
Dạ,general_chat
Đỉnh quá,general_chat
Tuyệt vời,general_chat
